round,accuracy,loss
1,0.0336624907441639,107.5033732923734
2,0.9580926332420427,825.2805784779681
3,0.05485190113779679,10608900.967414081
4,0.9591437438702552,112368341.07969318
5,0.0549764901905005,1440641322102.4614
6,0.9591563960662389,15304737201562.47
7,0.05499464339388673,1.958847885297507e+17
8,0.959150245346298,2.0757681491006715e+18
9,0.05499514050315781,2.663212366428759e+22
10,0.9591437438702552,2.828425059585689e+23
11,0.05498882171152451,3.6198228252804507e+27
12,0.959169044080913,3.839732097129907e+28
13,0.05499514050315781,4.921891635980078e+32
14,0.9591564012819427,5.226161445224819e+33
15,0.027855292167139313,
16,0.027855292167139313,
17,0.027855292167139313,
18,0.027855292167139313,
19,0.027855292167139313,
20,0.027855292167139313,
21,0.027855292167139313,
22,0.027855292167139313,
23,0.027855292167139313,
24,0.027855292167139313,
25,0.027855292167139313,
26,0.027855292167139313,
27,0.027855292167139313,
28,0.027855292167139313,
29,0.027855292167139313,
30,0.027855292167139313,
31,0.027855292167139313,
32,0.027855292167139313,
33,0.027855292167139313,
34,0.027855292167139313,
35,0.027855292167139313,
36,0.027855292167139313,
37,0.027855292167139313,
38,0.027855292167139313,
39,0.027855292167139313,
40,0.027855292167139313,
41,0.027855292167139313,
42,0.027855292167139313,
43,0.027855292167139313,
44,0.027855292167139313,
45,0.027855292167139313,
46,0.027855292167139313,
47,0.027855292167139313,
48,0.027855292167139313,
49,0.027855292167139313,
50,0.027855292167139313,
